book_name,author_name,book_length
Bring Her Home,David Bell,Length: 11 hrs and 55 mins
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,Length: 33 hrs and 45 mins
Bridesmaid for Hire,Meghan Quinn,Length: 13 hrs and 47 mins
The Home-Wrecker,Sara Cate,Length: 12 hrs and 50 mins
The Mad Mick Box Set Volume 2,Franklin Horton,Length: 29 hrs and 35 mins
Mark of the Fool 5,J.M. Clarke,Length: 18 hrs and 30 mins
Lion of Hearts,Kathryn Le Veque,Length: 9 hrs and 7 mins
The Wise Man's Fear,Patrick Rothfuss,Length: 42 hrs and 55 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 19 hrs and 7 mins
Queen of Shadows,Sarah J. Maas,Length: 20 hrs and 43 mins
Crown of Midnight,Sarah J. Maas,Length: 12 hrs and 43 mins
This Is Why We Lied,Karin Slaughter,Length: 12 hrs
Reversing Alzheimer's,Heather Sandison,Length: 11 hrs and 4 mins
Death's End,"Cixin Liu,Ken Liu - translator",Length: 28 hrs and 51 mins
The Two Towers,J. R. R. Tolkien,Length: 20 hrs and 46 mins
Dust Off the Bones,Paul Howarth,Length: 11 hrs and 50 mins
"Prepper, Book 4",Tom Abrahams,Length: 7 hrs and 21 mins
Empire of Storms,Sarah J. Maas,Length: 25 hrs and 18 mins
The Dark Forest,"Cixin Liu,Joel Martinsen - translator",Length: 22 hrs and 36 mins
Morning Star,Pierce Brown,Length: 21 hrs and 50 mins
Nine Month Contract,Amy Daws,Length: 10 hrs and 45 mins
Till Death,Miranda Lyn,Length: 19 hrs and 23 mins
Fairy Tale,Stephen King,Length: 24 hrs and 6 mins
Managing Suicidal Risk,"David A. Jobes PhD ABPP,Thomas E. Joiner Jr. PhD - foreword",Length: 10 hrs and 54 mins
Road to Mastery 3,Valerios,Length: 28 hrs and 38 mins
Terminal Impact,Charles Henderson,Length: 17 hrs and 9 mins
A Storm of Swords,George R.R. Martin,Length: 47 hrs and 34 mins
Ruthlessly His: A Dark Billionaire Contemporary Romance,"Zoe Blake,Alta Hensley",Length: 8 hrs and 31 mins
Kingdom of Ash,Sarah J. Maas,Length: 33 hrs and 11 mins
Heir of Fire,Sarah J. Maas,Length: 17 hrs and 56 mins
Voracious,James T. Callum,Length: 17 hrs and 12 mins
Rhythm of War,Brandon Sanderson,Length: 57 hrs and 26 mins
Nero,Conn Iggulden,Length: 10 hrs and 34 mins
Credence,Penelope Douglas,Length: 16 hrs and 55 mins
King of Sloth,Ana Huang,Length: 12 hrs and 59 mins
The Roman Riddle,Lynn Morrison,Length: 6 hrs and 41 mins
The Woman by the Lake,Kristen Ashley,Length: 13 hrs and 1 min
"Autocracy, Inc.",Anne Applebaum,Length: 7 hrs
The Lock Up,Alex Scarrow,Length: 8 hrs and 17 mins
How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins
Countdown,Sean Oswald,Length: 13 hrs and 13 mins
The Dungeon Anarchist's Cookbook,Matt Dinniman,Length: 16 hrs and 54 mins
The Writer's Library,"Nancy Pearl,Jeff Schwager",Length: 11 hrs and 21 mins
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 56 mins
The One I Left Behind,Piper Rayne,Length: 6 hrs and 33 mins
Skies over Caledonia,Samantha Young,Length: 8 hrs and 49 mins
The Perfect Fit,Sadie Kincaid,Length: 10 hrs and 28 mins
Tremendous,"Joey ""Coco"" Diaz",Length: 6 hrs and 45 mins
Go Tell the Bees That I Am Gone,Diana Gabaldon,Length: 49 hrs and 27 mins
The Girl Who Was Taken,Charlie Donlea,Length: 10 hrs and 49 mins
The Teacher,Freida McFadden,Length: 9 hrs and 35 mins
Team,"David Allen,Edward Lamont",Length: 9 hrs and 46 mins
Path of the Berserker 2: A Daopocalypse Progression Fantasy,Rick Scott,Length: 23 hrs and 6 mins
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs and 22 mins
How to Be a Patient,Sana Goldberg,Length: 9 hrs and 44 mins
Reluctantly Royal,"Erin Nicolle,Erin Nicholas",Length: 14 hrs and 4 mins
Federation Marine 7: Colonel,Jonathan P. Brazee,Length: 7 hrs and 12 mins
The Duke and I,Julia Quinn,Length: 12 hrs and 9 mins
Twisted Love,Ana Huang,Length: 10 hrs and 41 mins
Dead Meat,Nick Clausen,Length: 38 hrs and 9 mins
A Court of Mist and Fury,Sarah J. Maas,Length: 23 hrs and 16 mins
Son of the Hero King,Hikaru Genji,Length: 27 hrs and 16 mins
Ninth City Burning,J. Patrick Black,Length: 21 hrs and 24 mins
"Days of Want Series, Books 1-7",T. L. Payne,Length: 43 hrs and 42 mins
My Darcy,Lily Morton,Length: 1 hr and 41 mins
No Man's Land,Simon Tolkien,Length: 19 hrs and 13 mins
The Duke and I,Julia Quinn,Length: 12 hrs and 9 mins
Dead Meat,Nick Clausen,Length: 38 hrs and 9 mins
License to Parent,"Christina Hillsberg,Ryan Hillsberg",Length: 7 hrs and 26 mins
Romancing Mister Bridgerton,Julia Quinn,Length: 13 hrs and 17 mins
Ninth City Burning,J. Patrick Black,Length: 21 hrs and 24 mins
"Days of Want Series, Books 1-7",T. L. Payne,Length: 43 hrs and 42 mins
The Kidnapping of Edgardo Mortara,David I. Kertzer,Length: 15 hrs and 44 mins
Carl's Doomsday Scenario,Matt Dinniman,Length: 11 hrs and 28 mins
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
A Court of Thorns and Roses,Sarah J. Maas,Length: 16 hrs and 7 mins
The Crown of Gilded Bones,Jennifer L. Armentrout,Length: 25 hrs and 22 mins
The Baby Plan,Kate Rorick,Length: 11 hrs and 18 mins
101 Essays That Will Change the Way You Think,Brianna Wiest,Length: 10 hrs and 45 mins
The Immortals of Tehran,Ali Araghi,Length: 16 hrs and 24 mins
Light Bringer,Pierce Brown,Length: 30 hrs and 8 mins
Restless Stars,"Caroline Peckham,Susanne Valenti",Length: 34 hrs and 26 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,Length: 98 hrs and 1 min
The Well of Ascension,Brandon Sanderson,Length: 28 hrs and 56 mins
The 21 Most Powerful Minutes in a Leader's Day,John C. Maxwell,Length: 9 hrs and 7 mins
He Who Fights with Monsters 5,"Shirtaloon,Travis Deverell",Length: 20 hrs and 5 mins
The Stand,Stephen King,Length: 47 hrs and 47 mins
The Resilience Myth,Soraya Chemaly,Length: 8 hrs and 20 mins
Maybe This Time,Cara Bastone,Length: 5 hrs and 45 mins
Tower of Dawn,Sarah J. Maas,Length: 22 hrs and 39 mins
The Main Character,Jaclyn Goldis,Length: 13 hrs and 48 mins
"Chrysalis, Books 1-3",RinoZ,Length: 54 hrs and 41 mins
The Dressmaker's Dowry,Meredith Jaeger,Length: 9 hrs and 40 mins
Diver's Heart,K.A. Knight,Length: 12 hrs and 15 mins
Romancing Mister Bridgerton,Julia Quinn,Length: 13 hrs and 17 mins
Rune Seeker 3,"J.M. Clarke,C.J. Thompson",Length: 24 hrs and 24 mins
Becoming Supernatural,Joe Dispenza,Length: 14 hrs and 6 mins
A Court of Wings and Ruin (Part 3 of 3) (Dramatized Adaptation),Sarah J. Maas,Length: 6 hrs
Permission Granted,Melissa Camara Wilkins,Length: 5 hrs and 48 mins
Do What Feels Good,Hannah Bronfman,Length: 5 hrs and 7 mins
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell",Length: 28 hrs and 3 mins
When I Had You,S L Scott,Length: 8 hrs and 46 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 18 hrs and 32 mins
The Roommate Risk,Talia Hibbert,Length: 9 hrs and 36 mins
Rune Seeker 3,"J.M. Clarke,C.J. Thompson",Length: 24 hrs and 24 mins
Becoming Supernatural,Joe Dispenza,Length: 14 hrs and 6 mins
A Court of Wings and Ruin (Part 3 of 3) (Dramatized Adaptation),Sarah J. Maas,Length: 6 hrs
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell",Length: 28 hrs and 3 mins
When I Had You,S L Scott,Length: 8 hrs and 46 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 18 hrs and 32 mins
The Roommate Risk,Talia Hibbert,Length: 9 hrs and 36 mins
The 24th Hour,"James Patterson,Maxine Paetro",Length: 7 hrs and 33 mins
The Night Shift,Natalka Burian,Length: 12 hrs and 1 min
The Last Girls Standing,Jennifer Dugan,Length: 9 hrs and 39 mins
Devourer,Jez Cajiao,Length: 22 hrs and 43 mins
The 99 Boyfriends of Micah Summers,Adam Sass,Length: 10 hrs and 24 mins
The City and Its Uncertain Walls,"Haruki Murakami,Philip Gabriel - translator",Length: 15 hrs
Diver's Heart,K.A. Knight,Length: 12 hrs and 15 mins
The Mask Falling,Samantha Shannon,Length: 18 hrs and 30 mins
The Bird's Nest,"Shirley Jackson,Kevin Wilson - foreword",Length: 10 hrs and 41 mins
Dragonfly in Amber,Diana Gabaldon,Length: 38 hrs and 54 mins
Mr. Picture Perfect,Daryl Banner,Length: 13 hrs and 30 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
Hercule Poirot: The Complete Short Stories,Agatha Christie,Length: 35 hrs and 5 mins
Rune Seeker 3,"J.M. Clarke,C.J. Thompson",Length: 24 hrs and 24 mins
Becoming Supernatural,Joe Dispenza,Length: 14 hrs and 6 mins
A Court of Wings and Ruin (Part 3 of 3) (Dramatized Adaptation),Sarah J. Maas,Length: 6 hrs
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell",Length: 28 hrs and 3 mins
When I Had You,S L Scott,Length: 8 hrs and 46 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 18 hrs and 32 mins
The Roommate Risk,Talia Hibbert,Length: 9 hrs and 36 mins
The 24th Hour,"James Patterson,Maxine Paetro",Length: 7 hrs and 33 mins
The Night Shift,Natalka Burian,Length: 12 hrs and 1 min
The Last Girls Standing,Jennifer Dugan,Length: 9 hrs and 39 mins
Devourer,Jez Cajiao,Length: 22 hrs and 43 mins
The 99 Boyfriends of Micah Summers,Adam Sass,Length: 10 hrs and 24 mins
The City and Its Uncertain Walls,"Haruki Murakami,Philip Gabriel - translator",Length: 15 hrs
Diver's Heart,K.A. Knight,Length: 12 hrs and 15 mins
The Mask Falling,Samantha Shannon,Length: 18 hrs and 30 mins
The Bird's Nest,"Shirley Jackson,Kevin Wilson - foreword",Length: 10 hrs and 41 mins
Dragonfly in Amber,Diana Gabaldon,Length: 38 hrs and 54 mins
Mr. Picture Perfect,Daryl Banner,Length: 13 hrs and 30 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
Hercule Poirot: The Complete Short Stories,Agatha Christie,Length: 35 hrs and 5 mins
