book_name,author_name,book_length
One Perfect Couple,Ruth Ware,Length: 14 hrs and 9 mins
Day Trading Attention,Gary Vaynerchuk,Length: 8 hrs and 24 mins
Alliance,Cari Z,Length: 5 hrs and 33 mins
Mandate of Heaven,Selkie Myth,Length: 22 hrs and 56 mins
Habits for a Sacred Home,Jennifer Pepito,Length: 5 hrs and 6 mins
The Bunny Blues,Sedona Ashe,Length: 4 hrs and 21 mins
House of Sky and Breath (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 11 hrs
A Limited Edition Murder,Lauren Elliott,Length: 7 hrs and 52 mins
Battle with Fire (Dramatized Adaptation),K.F. Breene,Length: 6 hrs and 39 mins
Unloved,Marley Valentine,Length: 6 hrs and 17 mins
Searching for Thanksgiving,S.E. Smith,Length: 4 hrs and 24 mins
I Hope This Finds You Well,Natalie Sue,Length: 12 hrs and 3 mins
Fall with Me,Becka Mack,Length: 16 hrs and 21 mins
"The Complete Tall, Dark and Darcy Collection: A Pride and Prejudice Variation Book Series","Harriet Knowles,a Lady",Length: 49 hrs and 24 mins
Battlemaster,Plum Parrot,Length: 15 hrs and 19 mins
The Cycle of Galand,Edward W. Robertson,Length: 80 hrs and 28 mins
Swimming Against the Current,Riley Gaines,Length: 6 hrs and 56 mins
To Be Loved,Frank G. Anderson MD,Length: 10 hrs and 46 mins
Savor It,Tarah DeWitt,Length: 9 hrs and 5 mins
"The Alex Mason Series, Books 1-3","David Archer,Blake Banner",Length: 20 hrs and 28 mins
Abandoned,C.J. Petit,Length: 13 hrs and 46 mins
Knights Apocalyptica,Zach Skye,Length: 21 hrs and 57 mins
The Flowering War,Oscar Perez,Length: 9 hrs and 10 mins
Passions in Death,J. D. Robb,Length: 12 hrs and 51 mins
The Last Man Standing Complete Series Box Set (Books 1-3): A Zombie Apocalypse Thriller,Keith Taylor,Length: 13 hrs and 47 mins
Millionaire Mission,Brian Preston,Length: 7 hrs and 2 mins
The Last Hope,Susan Elia MacNeal,Length: 9 hrs and 24 mins
The Ten Keys to Total Freedom,"Dr. Dain Heer,Gary M. Douglas",Length: 9 hrs and 5 mins
"Right Thing, Right Now",Ryan Holiday,Length: 7 hrs and 59 mins
Wings of Ink,Angelina J. Steffort,Length: 10 hrs and 56 mins
The Daymakers,Grace McGinty,Length: 9 hrs and 4 mins
The Colour of Mystery,Joy Ellis,Length: 11 hrs and 7 mins
Way of the Wolf,Tom Elliot,Length: 16 hrs and 29 mins
The Bungalow on Shadow Road,Christy Barritt,Length: 5 hrs and 50 mins
Take Back Your Brain,Kara Loewentheil,Length: 7 hrs and 38 mins
Hunting Justice,"Lynette Eason,Sami A. Abrams",Length: 6 hrs and 16 mins
Unplanned,Alana Terry,Length: 5 hrs and 58 mins
Tested by Temptation,Lindsay Buroker,Length: 11 hrs and 33 mins
Wind and Truth,Brandon Sanderson,Length: 55 hrs
Heavy Is the Crown,"J.N. Chaney,Terry Maggert",Length: 10 hrs and 5 mins
Tress of the Emerald Sea,Brandon Sanderson,Length: 12 hrs and 27 mins
Rejected Midlife Wolf,Meg Ripley,Length: 5 hrs and 31 mins
Monsters Mayhem & Misfits 3,"Jack Spry,Marcus Sloss",Length: 10 hrs and 59 mins
"The Hunt: The True Story of Alaska's Most Notorious Serial Killer, Robert Hansen",Ryan Green,Length: 4 hrs and 10 mins
Liar's Point,Laura Griffin,Length: 9 hrs and 26 mins
In Our Stars,Jack Campbell,Length: 12 hrs and 20 mins
Battleborn,Richard Fox,Length: 9 hrs and 49 mins
Cold Hearted,"Leia Stone,Julie Hall",Length: 7 hrs and 10 mins
The Manchurian's Trail,J.C. Fields,Length: 8 hrs and 23 mins
Rise of the Cheat Potion Maker,Alvin Atwater,Length: 11 hrs and 13 mins
I Can Fix This,"Kristina Kuzmic,Shefali Tsabary Ph.D.",Length: 4 hrs and 48 mins
The Yankee Way,Andy Martino,Length: 9 hrs and 49 mins
Stormforged,Eric Asher,Length: 8 hrs and 18 mins
How Railways Transformed the World,"Patrick N. Allitt,The Great Courses",Length: 11 hrs and 23 mins
Ancient Ruins,Benjamin Medrano,Length: 13 hrs and 1 min
How to Become the Dark Lord and Die Trying,Django Wexler,Length: 14 hrs and 1 min
The Bible Unfiltered,Michael S. Heiser,Length: 5 hrs and 5 mins
Rise,"AJ Sherwood,Jocelynn Drake",Length: 10 hrs and 30 mins
The Sisters of Corinth,Angela Hunt,Length: 9 hrs and 38 mins
The Venture Mindset,"Ilya Strebulaev,Alex Dang",Length: 10 hrs and 8 mins
Conjured Chaos Kisses,Ki Brightly,Length: 3 hrs and 38 mins
The Mirror,Nora Roberts,Length: 14 hrs and 24 mins
The Witch of Webs,pirateaba,Length: 47 hrs and 18 mins
Not in Love,Ali Hazelwood,Length: 11 hrs and 55 mins
Sponsored Apocalypse,Blaise Corvin,Length: 10 hrs and 56 mins
The Medicine Woman of Galveston,Amanda Skenandore,Length: 12 hrs and 2 mins
Taming a Heartbreaker,Brenda Jackson,Length: 7 hrs and 35 mins
"Heretical Fishing 2: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",Haylock Jobson,Length: 25 hrs and 4 mins
World Nexus,Tom Elliot,Length: 20 hrs and 1 min
Hell Difficulty Tutorial,Cerim,Length: 18 hrs and 34 mins
Steady and Strong,Mari Carr,Length: 8 hrs and 49 mins
With Each Tomorrow,"Tracie Peterson,Kimberley Woodhouse",Length: 11 hrs and 29 mins
Ambassador for Mars,Glynn Stewart,Length: 10 hrs and 33 mins
Second Class,Batya Ungar-Sargon,Length: 6 hrs and 27 mins
Paladin's Faith,T. Kingfisher,Length: 16 hrs and 19 mins
The Butcher Game,Alaina Urquhart,Length: Not Yet Known
The Way of Ronin,Tu Lam,Length: 12 hrs and 9 mins
The Only Light Left Burning,Erik J. Brown,Length: 12 hrs and 37 mins
Now or Never,Janet Evanovich,Length: 8 hrs
Shameless,Brian Tyler Cohen,Length: 5 hrs
Highland Surrender,Heather McCollum,Length: 9 hrs and 32 mins
The Varlet and the Voyeur,"Penny Reid,L.H. Cosway",Length: 10 hrs and 43 mins
Dungeon Core Guardians 2,"Jack Spry,Marcus Sloss",Length: 12 hrs and 9 mins
The Copper Valley Fireballs Complete Series,Pippa Grant,Length: 38 hrs and 34 mins
Red Sky Mourning,Jack Carr,Length: 16 hrs
Confidence Skills for Christian Young Adults,Strong Life Publishing,Length: 4 hrs and 46 mins
Carnivore Diet,Shawn Baker,Length: 7 hrs and 51 mins
The Grey Wolf,Louise Penny,Length: 12 hrs and 51 mins
The Occult Oversight,Amanda M. Lee,Length: 27 hrs and 50 mins
Once You're Mine,Morgan Bridges,Length: 8 hrs and 1 min
"TBD (Zombie Fallout, Book 23)",Mark Tufo,Length: Not Yet Known
From Wall Street to the White House and Back,Anthony Scaramucci,Length: 6 hrs and 33 mins
The Language of Letting Go,Melody Beattie,Length: 13 hrs and 5 mins
I Dare You Not to Bore Me with the Bible,Michael S. Heiser,Length: 4 hrs and 16 mins
Mantis,Erica Summers,Length: 7 hrs and 41 mins
The Full-Body Fat Fix,Stephen Perrine,Length: 9 hrs and 3 mins
The Songbird and the Heart of Stone,Carissa Broadbent,Length: 15 hrs and 33 mins
First Frost,Craig Johnson,Length: 9 hrs and 53 mins
Arcane Knight Omnibus,Timothy McGowen,Length: 56 hrs and 11 mins
The Burning Witch 3: A Humorous Romantic Fantasy,Delemhach,Length: 17 hrs and 59 mins
Slo-Mo,Jerry Boyd,Length: 8 hrs and 27 mins
La teoría sintérgica [Sintergy Theory],Jacobo Grinberg-Zylberbaum,Length: 3 hrs and 29 mins
The Nurse Behind the Gates,Shari J. Ryan,Length: 11 hrs and 27 mins
Fighting Shadows,"Jefferson Bethke,Jon Tyson",Length: 4 hrs and 50 mins
The Dao of Bitcoin,Scott Dedels,Length: 5 hrs and 31 mins
Jake's Magical Market 3,J.R. Mathews,Length: 36 hrs and 21 mins
System Reborn Vol 1 & 2,Kaz Hunter,Length: 10 hrs and 13 mins
The Briar Club,Kate Quinn,Length: 15 hrs and 30 mins
Diary of a Wimpy Kid: Hot Mess,Jeff Kinney,Length: 4 hrs and 45 mins
The Wealth of Shadows,Graham Moore,Length: 12 hrs and 49 mins
We Who Wrestle with God,Jordan B. Peterson,Length: 13 hrs
The War on Warriors,Pete Hegseth,Length: 8 hrs and 10 mins
Legend of the Arch Magus: Publisher's Pack 6,Michael Sisa,Length: 14 hrs and 26 mins
Wayward Earth,"Jason Anspach,J.N. Chaney",Length: 14 hrs and 1 min
Maps for the Getaway,Annie England Noblin,Length: 8 hrs and 4 mins
Threads of Destiny: Volume 3,Yrsillar,Length: 12 hrs and 18 mins
Swan Song,Elin Hilderbrand,Length: 13 hrs and 39 mins
Yumi and the Nightmare Painter,Brandon Sanderson,Length: 14 hrs and 43 mins
Death Behind Every Door,Heather Graham,Length: 10 hrs and 13 mins
Dead Tired II,Ravensdagger,Length: 9 hrs and 24 mins
Point Blank,Morgan Brice,Length: 6 hrs and 55 mins
Test Subject,A.V. Ray,Length: 7 hrs and 39 mins
The Secret Fiancée,Catharina Maura,Length: 10 hrs and 35 mins
The Comfort of Ghosts,Jacqueline Winspear,Length: 12 hrs
Ruthless Hunter,Faith Summers,Length: 8 hrs and 38 mins
Sparrow Man,M. R. Pritchard,Length: 9 hrs and 50 mins
Capture or Kill,"Vince Flynn,Don Bentley",Length: 12 hrs
The Warfighter's Lounge,Jeff Bodell,Length: 4 hrs and 28 mins
Ember,"Jeffrey Wilson,Brian Andrews",Length: 14 hrs
Proven Strength,Daniel Schinhofen,Length: 12 hrs and 15 mins
The Bungalow on Shadow Road,Christy Barritt,Length: 5 hrs and 50 mins
Road to Mastery 3,Valerios,Length: 28 hrs and 38 mins
The Lord Ruler,Alvin Atwater,Length: 17 hrs and 39 mins
Rogue Ascension 3: A Progression LitRPG,Hunter Mythos,Length: 13 hrs and 40 mins
9 Simple Steps to Sell More $h!t,Corey Berrier,Length: 58 mins
Dead Tired II,Ravensdagger,Length: 9 hrs and 24 mins
Sparrow Man,M. R. Pritchard,Length: 9 hrs and 50 mins
Capture or Kill,"Vince Flynn,Don Bentley",Length: 12 hrs
The Warfighter's Lounge,Jeff Bodell,Length: 4 hrs and 28 mins
Test Subject,A.V. Ray,Length: 7 hrs and 39 mins
System Reborn Vol 3 & 4,Kaz Hunter,Length: 10 hrs and 59 mins
Erotica for Women: Sex Stories,Lucy James,Length: 20 hrs and 15 mins
With a Grain of Salt,Marie James,Length: 7 hrs and 27 mins
Children of Dune,Frank Herbert,Length: 16 hrs and 51 mins
The Ever Queen,LJ Andrews,Length: 13 hrs and 9 mins
The Shake Off,Lulu Moore,Length: 10 hrs and 33 mins
Rogue Ascension 3: A Progression LitRPG,Hunter Mythos,Length: 13 hrs and 40 mins
The Sunlit Man,Brandon Sanderson,Length: 11 hrs and 11 mins
The Black Bird Oracle,Deborah Harkness,Length: 17 hrs
House Wolf,Tom Elliot,Length: 16 hrs and 8 mins
Leather & Lark,Brynne Weaver,Length: 12 hrs and 15 mins
Throne in the Dark,A. K. Caggiano,Length: 14 hrs and 13 mins
Final Strike,Jeff Wheeler,Length: 10 hrs and 5 mins
House of Earth and Blood (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 12 hrs and 3 mins
Children of Dune,Frank Herbert,Length: 16 hrs and 51 mins
There's a Dungeon in My Basement 3,Dante King,Length: 8 hrs and 26 mins
Lieutenant Colonel,Jonathan P. Brazee,Length: 7 hrs
The Frugal Wizard’s Handbook for Surviving Medieval England,Brandon Sanderson,Length: 9 hrs and 11 mins
A Death in Cornwall,Daniel Silva,Length: 10 hrs and 15 mins
Kingdom Come,Johnny Enlow,Length: 3 hrs and 36 mins
World Undone,Sarah Lyons Fleming,Length: 17 hrs
The Hospital,Leslie Wolfe,Length: 9 hrs and 42 mins
The Queen's Starfire Throne,Hailey Turner,Length: 16 hrs and 58 mins
The Package,Sebastian Fitzek,Length: 6 hrs and 37 mins
Just One More Moment,Carly Phillips,Length: 5 hrs and 47 mins
The Last Refuge,"James Hunt,Colton Lively,Robert J Walker,Vincent Valentean",Length: 39 hrs and 9 mins
Saints and Sinners,Stacy Rush,Length: 16 hrs and 31 mins
Children of Anguish and Anarchy,Tomi Adeyemi,Length: 10 hrs and 2 mins
Swamp Spies,Jana DeLeon,Length: 9 hrs and 44 mins
Well and Truly Pucked,Lauren Blakely,Length: 8 hrs and 47 mins
Assist,Alexandria House,Length: 6 hrs and 27 mins
The Dixon Rule,Elle Kennedy,Length: 13 hrs and 17 mins
Searching for Redemption,Tonya Burrows,Length: 9 hrs and 52 mins
Believe It or Knot: Part Two,Harper Wylde,Length: 12 hrs and 45 mins
Sand and Foam,Kahlil Gibran,Length: 58 mins
Children of Anguish and Anarchy,Tomi Adeyemi,Length: 10 hrs and 2 mins
Swamp Spies,Jana DeLeon,Length: 9 hrs and 44 mins
Well and Truly Pucked,Lauren Blakely,Length: 8 hrs and 47 mins
Assist,Alexandria House,Length: 6 hrs and 27 mins
The New Rules,Margarita Nazarenko,Length: 7 hrs and 6 mins
Sanctum of the Soul,Kel Kade,Length: 12 hrs and 51 mins
Aeons,Andrew Hastie,Length: 9 hrs and 40 mins
Monster Hunter Fantom,"Larry Correia,Martin Fajkus,Jakub Mařík",Length: 18 hrs and 1 min
Attachment Styles + Workbook 2-in-1 Bundle,Joyce T.,Length: 5 hrs and 32 mins
How to Win a Grand Prix,Bernie Collins,Length: 6 hrs and 57 mins
The Heiress’s Daughter,Anne Gracie,Length: 11 hrs and 56 mins
13 Easy 5-Minute Yoga Exercises with Chair Modifications for Seniors,Alison Blaire,Length: 5 hrs and 55 mins
And Then? And Then? What Else?,David Handler,Length: 6 hrs and 7 mins
Winter Lost,Patricia Briggs,Length: 11 hrs
Just for the Summer,Abby Jimenez,Length: 11 hrs and 43 mins
Harry Potter and the Chamber of Secrets (Narrated by Stephen Fry),J.K. Rowling,Length: 9 hrs and 43 mins
Believe It or Knot: Part Two,Harper Wylde,Length: 12 hrs and 45 mins
God Emperor of Dune,Frank Herbert,Length: 15 hrs and 48 mins
Harry Potter and the Philosopher's Stone (Narrated by Stephen Fry),J.K. Rowling,Length: 8 hrs and 25 mins
Reborn as a Demonic Tree 2,XKarnation,Length: 24 hrs and 48 mins
The New Rules,Margarita Nazarenko,Length: 7 hrs and 6 mins
Swiped,L.M. Chilton,Length: 8 hrs and 46 mins
American Civil Wars,Alan Taylor,Length: 17 hrs and 8 mins
Harry Potter and the Half-Blood Prince (Narrated by Stephen Fry),J.K. Rowling,Length: 20 hrs and 31 mins
The Lies About Forever,Claudia Burgoa,Length: 5 hrs and 16 mins
The Coppersmith Farmhouse,Devney Perry,Length: 9 hrs and 43 mins
Sentinel,Mark Greaney,Length: 17 hrs
Harry Potter and the Prisoner of Azkaban (Narrated by Stephen Fry),J.K. Rowling,Length: 12 hrs and 3 mins
Burned Dreams,Neva Altaj,Length: 8 hrs and 13 mins
Saintess Summons Skeletons: Book 1,Mornn,Length: 18 hrs and 56 mins
The Dragon King's Egg,Ava Richardson,Length: 8 hrs and 59 mins
Born of Blood and Ash,Jennifer L. Armentrout,Length: 24 hrs
"You’re on Fire, It’s Fine",Katie K. May,Length: 4 hrs and 12 mins
The Whole Story,John Mackey,Length: 14 hrs and 30 mins
Butcher,Joyce Carol Oates,Length: 13 hrs and 11 mins
The Elysean Trials,D.N. Hoxa,Length: 17 hrs and 41 mins
The Morning Mind,"Dr. Rob Carter III,Kirti Salwe Carter MBBS MPH",Length: 5 hrs and 48 mins
Taming a Heartbreaker & A Little Bit of Love,"Brenda Jackson,Synithia Williams",Length: 10 hrs and 56 mins
Harry Potter and the Philosopher's Stone (Narrated by Stephen Fry),J.K. Rowling,Length: 8 hrs and 25 mins
You Are Here,David Nicholls,Length: 8 hrs and 27 mins
Star Wars: Temptation of the Force (The High Republic),Tessa Gratton,Length: 17 hrs and 4 mins
The Morning Mind,"Dr. Rob Carter III,Kirti Salwe Carter MBBS MPH",Length: 5 hrs and 48 mins
Taming a Heartbreaker & A Little Bit of Love,"Brenda Jackson,Synithia Williams",Length: 10 hrs and 56 mins
Firefly: Aim to Misbehave,Rosiee Thor,Length: 11 hrs
Twisted Rivalry,Devon McCormack,Length: 6 hrs and 35 mins
Sexy Beast,Piper Rayne,Length: 6 hrs and 29 mins
Tyrannical Supervillains Are Scheming and All I Got Is This Stat Menu,J.J. Ackerknecht,Length: 20 hrs and 8 mins
Reckless,Lauren Roberts,Length: 11 hrs
Angel of Vengeance,"Douglas Preston,Lincoln Child",Length: 14 hrs
Fragile Sanctuary,Catherine Cowles,Length: 11 hrs and 32 mins
The Laws of Human Nature,Robert Greene,Length: 28 hrs and 26 mins
The Dixon Rule,Elle Kennedy,Length: 13 hrs and 17 mins
The God of the Woods,Liz Moore,Length: 14 hrs and 35 mins
Apostles of Mercy,Lindsay Ellis,Length: 12 hrs
The Gods Undoing,Mark Tufo,Length: Not Yet Known
If You Tell,Gregg Olsen,Length: 10 hrs and 34 mins
The Whole Story,John Mackey,Length: 14 hrs and 30 mins
World Undone,Sarah Lyons Fleming,Length: 17 hrs
Reborn as a Demonic Tree 2,XKarnation,Length: 24 hrs and 48 mins
The Five Families of New York,Mafia Library,Length: 16 hrs and 41 mins
Escaping the Housing Trap,"Charles L. Marohn Jr.,Daniel Herriges",Length: 10 hrs and 2 mins
Close Quarters,Romeo Alexander,Length: 10 hrs and 12 mins
All the Skills 4: A Deck-Building LitRPG,Honour Rae,Length: 14 hrs and 26 mins
The Primeval Apocalypse 3,"Robert S. Keene,Alex Raizman",Length: 11 hrs and 26 mins
Harry Potter and the Deathly Hallows (Narrated by Stephen Fry),J.K. Rowling,Length: 23 hrs and 59 mins
Proven Strength,Daniel Schinhofen,Length: 12 hrs and 15 mins
Dune Messiah,Frank Herbert,Length: 8 hrs and 57 mins
Saintess Summons Skeletons: Book 1,Mornn,Length: 18 hrs and 56 mins
House of Sky and Breath,Sarah J. Maas,Length: 27 hrs and 42 mins
Mad Love,Wendy Walker,Length: 4 hrs and 11 mins
The Housemaid Is Watching,Freida McFadden,Length: 11 hrs and 42 mins
The Cursed Assassin,Andrew Karevik,Length: 12 hrs and 23 mins
A Court of Wings and Ruin,Sarah J. Maas,Length: 25 hrs and 9 mins
Lucky,Louise Thompson,Length: 6 hrs and 21 mins
Cascade,Joshua James,Length: 8 hrs and 34 mins
The Dragon King's Egg,Ava Richardson,Length: 8 hrs and 59 mins
How to Become Famous,Cass R. Sunstein,Length: 7 hrs and 45 mins
Still Waters,Matt Goldman,Length: 8 hrs and 38 mins
Addicted to the Pain,Rosa Lee,Length: 9 hrs and 51 mins
Maps for the Getaway,Annie England Noblin,Length: 8 hrs and 4 mins
Start with Your People,"Brian Dixon,Ruth Soukup - foreword",Length: 6 hrs and 38 mins
Oathbringer,Brandon Sanderson,Length: 55 hrs and 5 mins
The Fallen One,Brittney Sahin,Length: 18 hrs and 7 mins
House of Earth and Blood,Sarah J. Maas,Length: 27 hrs and 50 mins
Camino Ghosts,John Grisham,Length: 10 hrs and 17 mins
Dark Matter (Movie Tie-In),Blake Crouch,Length: 10 hrs and 8 mins
No B.S. Direct Marketing,"Dan S. Kennedy,Marty Fort - contributor,Darcy Juarez - contributor",Length: 6 hrs and 19 mins
Southern Man,Greg Iles,Length: 45 hrs and 43 mins
You Never Know,"Tom Selleck,Ellis Henican",Length: 12 hrs and 47 mins
This Woman Forever,Jodi Ellen Malpas,Length: 22 hrs and 22 mins
The Worst of You,Sarah Richards,Length: 10 hrs and 51 mins
Goddess of the River,Vaishnavi Patel,Length: 11 hrs and 33 mins
A Court of Frost and Starlight,Sarah J. Maas,Length: 6 hrs and 23 mins
The Understory,Lore Ferguson Wilbert,Length: 6 hrs and 47 mins
"Succubus Summoner, Part 3","Virgil Knightley,Annabelle Hawthorne",Length: 8 hrs and 19 mins
The Dark Refrain,Jessica Khoury,Length: 10 hrs and 24 mins
Truth Truth Lie,Claire McGowan,Length: 9 hrs and 28 mins
"Brown Faces, White Spaces","Latasha Morrison,Eugene Cho - foreword,Dr. Anita Phillips - afterword",Length: 7 hrs and 36 mins
Point Nemo,Jeremy Robinson,Length: 9 hrs and 31 mins
Words of Radiance,Brandon Sanderson,Length: 48 hrs and 13 mins
"Truth Is the Arrow, Mercy Is the Bow",Steve Almond,Length: 6 hrs and 44 mins
